2024-04-22 16:14:33 Размерность обучающей выборки: (8000, 4)
2024-04-22 16:14:33 Размерность тестовой выборки: (2000, 4)
2024-04-22 16:14:34 Количество правил: -  3125
2024-04-22 16:14:34 start gradient descent
2024-04-22 22:52:16 ошибка - 0.029501330506472162
2024-04-22 22:53:29 ошибка - 0.005487264918054728
2024-04-22 22:54:43 ошибка - 0.004237501816990923
2024-04-22 22:55:56 ошибка - 0.0029694425645184963
2024-04-22 22:57:09 ошибка - 0.002812704021550797
2024-04-22 22:58:20 ошибка - 0.007382060533728613
2024-04-22 22:59:35 ошибка - 0.0008168258491322587
2024-04-22 23:00:47 ошибка - 0.01212094997426183
2024-04-22 23:02:00 ошибка - 0.007134793726571592
2024-04-22 23:03:13 ошибка - 0.0050903286714791525
2024-04-22 23:04:27 ошибка - 0.002932643070806826
2024-04-22 23:05:39 ошибка - 0.0139992000121989
2024-04-22 23:06:53 ошибка - 0.0009114728202522231
2024-04-22 23:08:06 ошибка - 0.012624350779876925
2024-04-22 23:09:21 ошибка - 0.012204039486616849
2024-04-22 23:10:34 ошибка - 0.011598162294935205
2024-04-22 23:11:49 ошибка - 0.02067822008884581
2024-04-22 23:13:02 ошибка - 0.018129634916799857
2024-04-22 23:14:16 ошибка - 0.01093734136495371
2024-04-22 23:15:29 ошибка - 0.0010521639087369085
2024-04-22 23:16:42 ошибка - 0.0020956387416832464
